Tweet ID,Entity,Wikidata Result,Neighbor ID,Neighbor Label,Is Fake News
498254340310966273,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1860,English,rumor
498254340310966273,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1084,noun,rumor
498254929942028288,ten,Entity found: L348170-S1 with ID: L348170-S1,http://www.wikidata.org/entity/Q23806,10,rumor
498294367405477888,ten,Entity found: L348170-S1 with ID: L348170-S1,http://www.wikidata.org/entity/Q23806,10,rumor
498305825341845504,monday,Entity found: L345300-S1 with ID: L345300-S1,http://www.wikidata.org/entity/Q105,Monday,rumor
498305825341845504,ten,Entity found: L348170-S1 with ID: L348170-S1,http://www.wikidata.org/entity/Q23806,10,rumor
498463591767756800,last night,Entity found: L193801 with ID: L193801,http://www.wikidata.org/entity/Q1860,English,rumor
498463591767756800,last night,Entity found: L193801 with ID: L193801,http://www.wikidata.org/entity/Q380057,adverb,rumor
499525020708634625,last night,Entity found: L193801 with ID: L193801,http://www.wikidata.org/entity/Q1860,English,rumor
499525020708634625,last night,Entity found: L193801 with ID: L193801,http://www.wikidata.org/entity/Q380057,adverb,rumor
499530130487017472,last night,Entity found: L193801 with ID: L193801,http://www.wikidata.org/entity/Q1860,English,rumor
499530130487017472,last night,Entity found: L193801 with ID: L193801,http://www.wikidata.org/entity/Q380057,adverb,rumor
500235112785924096,pentagon,Entity found: L608408-S1 with ID: L608408-S1,http://www.wikidata.org/entity/Q127840,pentagon,rumor
500237448798949376,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1860,English,rumor
500237448798949376,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1084,noun,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q7187,gene,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q9384,testicle,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q130888,Drosophila melanogaster,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q7273130,fat body,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q22809711,reverse strand,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q29566139,Drosophila melanogaster chromosome 2R,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q29811132,Centrosomin Dmel_CG4832,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q66505642,body wall,rumor
500273257262886912,cnn,Entity found: cnn with ID: Q29712984,http://www.wikidata.org/entity/Q66535988,gut,rumor
500279519455219712,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1860,English,rumor
500279519455219712,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1084,noun,rumor
500280809652514816,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1860,English,rumor
500280809652514816,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1084,noun,rumor
500284494201757696,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1860,English,rumor
500284494201757696,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1084,noun,rumor
500285938824908801,four,Entity found: L348538-S1 with ID: L348538-S1,http://www.wikidata.org/entity/Q202,4,rumor
500300813835988992,amp,Entity found: L316250 with ID: L316250,http://www.wikidata.org/entity/Q1860,English,rumor
500300813835988992,amp,Entity found: L316250 with ID: L316250,http://www.wikidata.org/entity/Q1084,noun,rumor
500301418406744064,a week,Entity found: L303106-S1 with ID: L303106-S1,http://www.wikidata.org/entity/Q23387,week,rumor
500308705083400193,browns,Entity found: L30317-F2 with ID: L30317-F2,http://www.wikidata.org/entity/Q146786,plural,rumor
500308708988301312,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1860,English,rumor
500308708988301312,today,Entity found: L3283 with ID: L3283,http://www.wikidata.org/entity/Q1084,noun,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q341,free software,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q2063,JSON,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q165194,application programming interface,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q174666,cross-platform,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q1127410,serialization,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q13785927,Apache Software License 2.0,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q21127166,Java software library,rumor
500358195408551936,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q50423863,copyrighted,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q341,free software,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q2063,JSON,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q165194,application programming interface,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q174666,cross-platform,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q1127410,serialization,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q13785927,Apache Software License 2.0,rumor
500360095738626049,jackson,Entity found: Jackson with ID: Q22905941,http://www.wikidata.org/entity/Q21127166,Java software library,rumor
